Instancia,Modelo,Solver,Resultado,Tiempo
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist100.dat,SCF,Gurobi,649.3313751586168,10.908827781677246
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist50.dat,SCF,Gurobi,399.4863093550113,1.9328315258026123
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist75.dat,SCF,Gurobi,534.4118895989343,4.910868167877197
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle.dat,SCF,Gurobi,280.16554251254587,0.24634170532226562
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle2.dat,SCF,Gurobi,459.37973738844653,0.20042681694030762
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle3.dat,SCF,Gurobi,377.5106903761418,0.6462719440460205
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle4.dat,SCF,Gurobi,420.5758330722235,0.3261277675628662
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle5.dat,SCF,Gurobi,420.5758330722235,0.32515907287597656
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle6.dat,SCF,Gurobi,362.0191671138099,0.23733758926391602
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin134.dat,SCF,Gurobi,4126.723012062298,36.16792845726013
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin27.dat,SCF,Gurobi,2399.2651998045517,0.4252586364746094
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist100.dat,NODE-DL,Gurobi,642.4530126693361,2.7779781818389893
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist50.dat,NODE-DL,Gurobi,380.8165487234343,0.4929192066192627
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordChrist75.dat,NODE-DL,Gurobi,531.0523301260047,0.8423230648040771
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle.dat,NODE-DL,Gurobi,276.5557324843989,0.09574413299560547
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle2.dat,NODE-DL,Gurobi,453.054063575981,0.12067484855651855
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle3.dat,NODE-DL,Gurobi,354.07517354424,0.20545148849487305
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle4.dat,NODE-DL,Gurobi,403.18219363384713,0.18282699584960938
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle5.dat,NODE-DL,Gurobi,403.18219363384713,0.14601349830627441
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordGaspelle6.dat,NODE-DL,Gurobi,362.0191671138099,0.14162468910217285
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin134.dat,NODE-DL,Gurobi,3558.0515257400675,2.0142886638641357
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Barreto_LRP\coordMin27.dat,NODE-DL,Gurobi,2215.0406946935195,0.11693549156188965
